,0,names
0,0.0,Best of
1,-0.011439543938275782,WRank
2,0.006158434743899547,LRank
3,-0.013702526319969422,winner_hand
4,0.0029032522486994385,winner_ht
5,-0.06299597651096522,winner_age
6,0.005585769517968721,loser_hand
7,-0.004742033386421958,loser_ht
8,0.05872505402085924,loser_age
9,0.0031431362170579683,SOT
10,-0.0027261958333988793,Major
11,-0.6595777312979564,oddsw
12,0.6663827977880624,oddsl
13,0.0006073182961978253,Clay
14,0.0,Hard
15,0.0,Grass
16,0.0,Carpet
17,0.2606266245401494,Wcomb
18,-0.2606266245401494,Lcomb
19,-0.002580118281918016,RTrendW
20,0.0002661336523068885,RTrendL
21,-0.06038843564248864,WInverseRank
22,0.055972346510578,LInverseRank
23,-0.08740002106598935,CWPW
24,0.08618783009465575,CWPL
25,0.0591802211533144,POSW
26,-0.06055108845567503,POSL
27,0.004152998281540752,PINW
28,-0.014270795460386763,PINL
29,-0.0123448945377437,GPW
30,0.027470906198330508,DSWW
31,-0.0008485450325504787,DSLW
32,0.0,CSWW
33,0.021047083516015728,CSLW
34,-0.0029967754615878328,TieWW
35,-0.01037332935412892,TieLW
36,-0.012608460647456814,FSIW
37,0.010009138695002312,FSWW
38,-0.02953094694166596,BPFGW
39,0.0,BPWGW
40,0.003616994939806503,BPFCW
41,-0.016801622508238544,BPWCW
42,-0.02344769777172849,DSWL
43,0.0020074078144103028,DSLL
44,0.01858963100779465,CSWL
45,-0.020763336032290768,CSLL
46,0.016944715627679338,TieWL
47,0.0,TieLL
48,-0.014856486833120536,APSGL
49,0.0,FSIL
50,0.0,FSWL
51,0.03445276418162058,BPFGL
52,-0.022194007604171666,BPWGL
53,0.0009084692469353467,BPFCL
54,0.03340166097352998,BPWCL
55,0.06424489284983996,TSSW
56,-0.0767800708705676,TSSL
57,0.017257871913029233,GPL
